id,name,state_id
1,Baksa,1
2,Barpeta,1
3,Biswanath,1
4,Bongaigaon,1
5,Cachar,1
6,Charaideo,1
7,Chirang,1
8,Darrang,1
9,Dhemaji,1
10,Dhubri,1
11,Dibrugarh,1
12,Dima Hassao,1
13,Goalpara,1
14,Golaghat,1
15,Hailakandi,1
16,Hojai,1
17,Jorhat,1
18,Kamrup,1
19,Kamrup Metro,1
20,Karbi Anglong East,1
21,Karbi Anglong West,1
22,Karimganj,1
23,Kokrajhar,1
24,Lakhimpur,1
25,Majuli,1
26,Morigaon,1
27,Nagaon,1
28,Nalbari,1
29,Sivasagar ,1
30,South Salmara-Mankachar,1
31,Udalguri,1
32,Sonitpur,1
33,Tinsukia,1
34,Anantnag,2
35,Bandipora,2
36,Baramulla,2
37,Budgam,2
38,Doda,2
39,Ganderbal,2
40,Jammu,2
41,Kargil,2
42,Kathua,2
43,Kishtwar,2
44,Kulgam,2
45,Kupwara,2
46,Leh,2
47,Poonch,2
48,Pulwama,2
49,Rajouri,2
50,Ramban,2
51,Reasi,2
52,Samba ,2
53,Shopian,2
54,Srinagar,2
55,Udhampur,2
56,Ahmednagar,3
57,Akola,3
58,Amravati,3
59,Aurangabad,3
60,Beed,3
61,Bhandara,3
62,Buldhana,3
63,Chandrapur,3
64,Dhule,3
65,Gadchiroli,3
66,Gondia,3
67,Hingoli,3
68,Jalgaon,3
69,Jalna,3
70,Kolhapur,3
71,Latur,3
72,Mumbai City,3
73,Mumbai Suburban,3
74,Nagpur,3
75,Nanded,3
76,Nandurbar,3
77,Nashik,3
78,Osmanabad,3
79,Parbhani,3
80,Palghar,3
81,Pune,3
82,Raigad,3
83,Ratnagiri,3
84,Sangli,3
85,Sindhudurg,3
86,Satara,3
87,Solapur,3
88,Thane,3
89,Wardha,3
90,Washim,3
91,Yavatmal,3
92,Agra,4
93,Aligarh,4
94,Allahabad,4
95,Ambedkar Nagar,4
96,Amethi,4
97,Amroha,4
98,Auraiya,4
99,Azamgarh,4
100,Bagpat,4
101,Bahraich,4
102,Ballia,4
103,Balrampur,4
104,Banda,4
105,Barabanki,4
106,Bareilly,4
107,Basti,4
108,Bijnor,4
109,Budaun,4
110,Bulandshahr,4
111,Chandauli,4
112,Chitrakoot,4
113,Deoria,4
114,Etah,4
115,Etawah,4
116,Faizabad,4
117,Farrukhabad,4
118,Fatehpur,4
119,Firozabad,4
120,Gautam Buddha Nagar,4
121,Ghaziabad,4
122,Ghazipur,4
123,Gonda,4
124,Gorakhpur,4
125,Hamirpur,4
126,Hapur,4
127,Hardoi,4
128,Hastinapur,4
129,Hathras,4
130,Jalaun,4
131,Jaunpur,4
132,Jhansi,4
133,Kannauj,4
134,Kasganj,4
135,Kanpur Dehat,4
136,Kanpur Nagar,4
137,Kaushambi,4
138,Kushinagar,4
139,Lakhimpur Kheri,4
140,Lalitpur,4
141,Lucknow,4
142,Mahoba,4
143,Maharajganj,4
144,Mainpuri,4
145,Mathura,4
146,Mau,4
147,Meerut,4
148,Mirzapur,4
149,Moradabad,4
150,Muzaffarnagar,4
151,Pratapgarh,4
152,Raebareli,4
153,Rampur,4
154,Saharanpur,4
155,Sambhal,4
156,Sant Kabir Nagar,4
157,Sant Ravidas Nagar,4
158,Shahjahanpur,4
159,Shamli,4
160,Shravasti,4
161,Siddharthnagar,4
162,Sitapur,4
163,Sonbhadra,4
164,Sultanpur,4
165,Unnao,4
166,Varanasi,4
167,Ahmedabad,5
168,Amreli,5
169,Anand,5
170,Aravalli,5
171,Banaskantha,5
172,Bharuch,5
173,Bhavnagar,5
174,Botad,5
175,Chhota Udaipur,5
176,Dahod,5
